gunphase,charge,sum,norm_sum,5.00E+05,2.50E-04
201,0.97,495742,-1.0645,,
201,0.73,526576,6.644,,
202,0.92,538157,9.53925,,
204,0.69,491799,-2.05025,,
205,0.88,551339,12.83475,,
205,1.54,544344,11.086,,
206,1.97,641085,35.27125,,
206,4.9,540062,10.0155,,
206,1.47,521903,5.47575,,
207,7.68,559505,14.87625,,
207,6.91,621339,30.33475,,
208,6.15,653681,38.42025,,
208,13.08,589094,22.2735,,
209,20.12,725041,56.26025,,
210,27.98,721340,55.335,,
210,37.8,745077,61.26925,,
211,36.05,779992,69.998,,
211,49.18,799159,74.78975,,
212,52.4,947973,111.99325,,
212,60.62,872055,93.01375,,
213,56.9,847982,86.9955,,
213,70.14,845522,86.3805,,
214,67.95,898164,99.541,,
214,70.14,922892,105.723,,
215,79.62,954177,113.54425,,
216,75.2,1093010,148.2525,,
216,80.63,1073733,143.43325,,
217,81.66,1088467,147.11675,,
217,88.96,1051036,137.759,,
218,100.03,1063348,140.837,,
218,94.48,1059478,139.8695,,
219,102.27,1156039,164.00975,,
219,99.39,1151240,162.81,,
220,109.31,1088572,147.143,,
220,105.23,1097837,149.45925,,
221,109.31,1143458,160.8645,,
222,103.9,1078356,144.589,,
222,116.46,1134842,158.7105,,
223,114.27,1069654,142.4135,,
223,113.19,1193085,173.27125,,
224,114.99,1041183,135.29575,,
225,121.74,1067405,141.85125,,
226,118.7,926384,106.596,,
226,115.72,1004633,126.15825,,
227,119.45,1149528,162.382,,
228,120.21,1038356,134.589,,
229,120.97,754835,63.70875,,
229,133.89,975890,118.9725,,
230,142.65,924655,106.16375,,
231,139.08,843677,85.91925,,
231,153.92,956073,114.01825,,
232,165.04,1011922,127.9805,,
233,197.72,971864,117.966,,
234,190.94,1165206,166.3015,,
234,236.86,1080067,145.01675,,
235,249.18,1159689,164.92225,,
236,249.18,1158463,164.61575,,
237,279.3,1261211,190.30275,,
238,295.7,1513876,253.469,,
238,329.34,1589754,272.4385,,
239,381.03,1677909,294.47725,,
240,385.89,1930437,357.60925,,
241,405.97,2021821,380.45525,,
242,424.38,2184223,421.05575,,
242,428.44,2228621,432.15525,,
243,469.68,2268136,442.034,,
244,481.74,2418168,479.542,,
245,490.99,2974197,618.54925,,
246,492.55,2885007,596.25175,,
246,506.8,2851714,587.9285,,
247,503.6,3076240,644.06,,
247,519.82,3089357,647.33925,,
248,523.12,3262216,690.554,,
248,513.27,3294967,698.74175,,
249,531.48,3410596,727.649,,
249,529.8,3552694,763.1735,,
250,539.97,3661518,790.3795,,
250,538.26,3627920,781.98,,
251,533.16,3728349,807.08725,,
251,533.16,3731304,807.826,,
252,526.45,3839542,834.8855,,
252,526.45,3924230,856.0575,,
253,531.48,4048452,887.113,,
253,526.45,3909482,852.3705,,
254,526.45,4117726,904.4315,,
254,518.17,4245864,936.466,,
255,519.82,4197068,924.267,,
255,526.45,4199642,924.9105,,
256,519.82,4326619,956.65475,,
256,526.45,4189688,922.422,,
257,514.9,4343785,960.94625,,
257,513.27,4184787,921.19675,,
258,506.8,4299722,949.9305,,
258,513.27,4333563,958.39075,,
259,523.12,4323402,955.8505,,
259,516.53,4601691,1025.42275,,
260,513.27,4474390,993.5975,,
260,500.42,4449928,987.482,,
261,519.82,4357314,964.3285,,
262,524.78,4447103,986.77575,,
262,516.53,4235410,933.8525,,
262,506.8,4400641,975.16025,,
263,513.27,4396625,974.15625,,
263,519.82,4223223,930.80575,,
264,487.89,4433070,983.2675,,
265,503.6,4381389,970.34725,,
266,506.8,4233515,933.37875,,
266,500.42,4284897,946.22425,,
267,494.11,4246084,936.521,,
268,500.42,4192828,923.207,,
268,503.6,4476803,994.20075,,
269,502.01,4390424,972.606,,
269,494.11,4313804,953.451,,
270,490.99,4366499,966.62475,,
270,500.42,4317846,954.4615,,
271,494.11,4282215,945.55375,,
271,494.11,4366259,966.56475,,
272,487.89,4417436,979.359,,
272,487.89,4346685,961.67125,,
273,490.99,4299005,949.75125,,
273,497.26,4290648,947.662,,
274,481.74,4328663,957.16575,,
274,490.99,4490634,997.6585,,
274,490.99,4444443,986.11075,,
275,487.89,4338875,959.71875,,
276,469.68,4136381,909.09525,,
276,478.7,4461246,990.3115,,
277,481.74,4428002,982.0005,,
278,469.68,4299273,949.81825,,
278,469.68,4469353,992.33825,,
279,475.68,4266105,941.52625,,
279,468.2,4227497,931.87425,,
280,469.68,4291727,947.93175,,
281,481.74,4091849,897.96225,,
281,469.68,4238928,934.732,,
282,469.68,4199306,924.8265,,
283,466.71,4273121,943.28025,,
283,462.3,4010617,877.65425,,
284,466.71,4322854,955.7135,,
285,457.92,4119205,904.80125,,
286,457.92,4087536,896.884,,
287,455.03,4209093,927.27325,,
288,446.46,4081172,895.293,,
289,446.46,4100100,900.025,,
289,446.46,4107735,901.93375,,
290,446.46,3946571,861.64275,,
291,435.28,3829381,832.34525,,
292,429.8,3919051,854.76275,,
293,439.44,3862840,840.71,,
294,423.04,3883397,845.84925,,
295,419.04,3748278,812.0695,,
295,421.7,3861924,840.481,,
296,419.04,3909448,852.362,,
297,405.97,3815058,828.7645,,
298,412.45,3817726,829.4315,,
298,403.4,3730339,807.58475,,
298,411.14,3630269,782.56725,,
