timestamp,filter_index,gain,exposure,camera,serial,calibration,charge,xc,yc,xrms,yrms,sum,roi_x,roi_y,roi_w,roi_h,gunphase,linacphase,X1,Y1,X2,Y2,X3,Y3,X4,Y4,Q1,Q2,Q3,Q4,Q5
2024-08-09 18-22-01,0,24,1000,Cam4,50-0536976126,7.03,497.26,608.5881172,701.5942944,73.3217858,69.79028726,2446139,262.3794212,437.0932476,640,512,268,140,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,1.8001,-1.5998,1.6,-0.0011,0.0026
2024-08-09 18-22-02,0,24,1000,Cam4,50-0536976126,7.03,503.6,598.4150104,701.6952141,78.75510497,70.56644133,2978595,262.3794212,437.0932476,640,512,268,140,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,1.8001,-1.5998,1.6,-0.0011,0.0026
2024-08-09 18-22-03,0,24,1000,Cam4,50-0536976126,7.03,503.6,589.3636389,699.8654714,78.39696739,73.48379887,3069367,262.3794212,437.0932476,640,512,268,140,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,1.8001,-1.5998,1.6,-0.0011,0.0026
2024-08-09 18-22-05,0,24,1000,Cam4,50-0536976126,7.03,494.11,601.9553144,704.8527725,76.79766189,75.41495236,2994062,262.3794212,437.0932476,640,512,268,140,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,1.8001,-1.5998,1.6,-0.0011,0.0026
2024-08-09 18-22-06,0,24,1000,Cam4,50-0536976126,7.03,506.8,584.1641153,700.0058494,80.84757173,67.63544817,2997733,262.3794212,437.0932476,640,512,268,140,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,1.8001,-1.5998,1.6,-0.0011,0.0026
2024-08-09 18-22-07,0,24,1000,Cam4,50-0536976126,7.03,500.42,584.9582034,699.8427926,80.03962277,77.64429494,3059061,262.3794212,437.0932476,640,512,268,140,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,1.8001,-1.5998,1.6,-0.0011,0.0026
2024-08-09 18-22-08,0,24,1000,Cam4,50-0536976126,7.03,494.11,602.9499209,701.0389335,77.56457947,75.16238901,2891420,262.3794212,437.0932476,640,512,268,140,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,1.8001,-1.5998,1.6,-0.0011,0.0026
2024-08-09 18-22-09,0,24,1000,Cam4,50-0536976126,7.03,503.6,593.2634559,702.6380368,74.69649803,71.89116189,2715985,262.3794212,437.0932476,640,512,268,140,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,1.8001,-1.5998,1.6,-0.0011,0.0026
2024-08-09 18-22-11,0,24,1000,Cam4,50-0536976126,7.03,506.8,583.1549768,700.0653143,72.40295602,76.27951058,2428075,262.3794212,437.0932476,640,512,268,140,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,1.8001,-1.5998,1.6,-0.0011,0.0026
2024-08-09 18-22-12,0,24,1000,Cam4,50-0536976126,7.03,506.8,583.9099998,703.0974122,73.75431816,70.49115989,2908072,262.3794212,437.0932476,640,512,268,140,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,1.8001,-1.5998,1.6,-0.0011,0.0026
2024-08-09 18-22-13,0,24,1000,Cam4,50-0536976126,7.03,506.8,581.5722578,702.4071809,81.99909878,66.73692068,2891312,262.3794212,437.0932476,640,512,268,140,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,1.8001,-1.5998,1.6,-0.0011,0.0026
2024-08-09 18-22-14,0,24,1000,Cam4,50-0536976126,7.03,503.6,578.349105,702.7046993,76.13018609,74.22417968,3093398,262.3794212,437.0932476,640,512,268,140,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,1.8001,-1.5998,1.6,-0.0011,0.0026
2024-08-09 18-22-15,0,24,1000,Cam4,50-0536976126,7.03,505.2,596.6971068,704.2571577,75.89050352,71.38003874,3201361,262.3794212,437.0932476,640,512,268,140,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,1.8001,-1.5998,1.6,-0.0011,0.0026
2024-08-09 18-22-17,0,24,1000,Cam4,50-0536976126,7.03,506.8,594.5994584,702.0881368,78.38412105,74.41783052,2946656,262.3794212,437.0932476,640,512,268,140,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,1.8001,-1.5998,1.6,-0.0011,0.0026
2024-08-09 18-22-18,0,24,1000,Cam4,50-0536976126,7.03,506.8,593.4762174,696.279735,76.4866214,75.49327992,2809003,262.3794212,437.0932476,640,512,268,140,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,1.8001,-1.5998,1.6,-0.0011,0.0026
2024-08-09 18-22-19,0,24,1000,Cam4,50-0536976126,7.03,503.6,594.6579125,699.0534469,78.38162629,71.50061942,2721643,262.3794212,437.0932476,640,512,268,140,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,1.8001,-1.5998,1.6,-0.0011,0.0026
