timestamp,filter_index,gain,exposure,camera,serial,calibration,charge,xc,yc,xrms,yrms,sum,roi_x,roi_y,roi_w,roi_h,gunphase,linacphase,X1,Y1,X2,Y2,X3,Y3,X4,Y4,Q1,Q2,Q3,Q4,Q5
2024-08-08 16-08-00,0,0,1000,Cam4,50-0536976126,0.009921875,0,466.95184909474585,905.7573089511185,7.710493992298398,8.597687555568601,101206,429.8427609719046,871.7437816664515,65.00914587032383,66.70404736279227,286.0,124.0,1.0999,-0.0004,0.2,0.4,0.4999,0.2,3.0,2.9999,4.8,-4.0,4.75,0.0,0.0
2024-08-08 16-09-10,0,1,1000,Cam4,50-0536976126,0.009921875,0,472.1740441556269,917.4255908445732,8.77425890443629,14.671985417667267,101706,429.8427609719046,871.7437816664515,65.00914587032383,66.70404736279227,286.0,124.0,1.0999,-0.0004,0.2,0.4,0.4999,0.2,3.0,2.9999,4.5999,-3.7999,4.55,0.0,0.0
2024-08-08 16-10-41,0,8,1000,Cam4,50-0536976126,0.009921875,0,485.8481227681058,918.2054010396606,12.200386088513186,13.7424725431467,349779,453.71850651586163,883.1630578071154,88.77628338149981,96.99549713193812,286.0,124.0,1.0999,-0.0004,0.2,0.4,0.4999,0.2,3.0,2.9999,4.3999,-3.6997,4.3499,0.0,0.0
2024-08-08 16-11-09,0,11,1000,Cam4,50-0536976126,0.009921875,0,494.13050894416165,930.1948244626143,16.363066423341344,26.04980604767191,702306,436.1567759211784,858.0748712432821,124.52694923496239,137.13659563407157,286.0,124.0,1.0999,-0.0004,0.2,0.4,0.4999,0.2,3.0,2.9999,4.2001,-3.4997,4.15,0.0,0.0
2024-08-08 16-11-30,0,11,1000,Cam4,50-0536976126,0.009921875,0,508.60157609920674,929.4220884386527,20.241862345517113,45.1540770300237,656115,436.1567759211784,858.0748712432821,124.52694923496239,137.13659563407157,286.0,124.0,1.0999,-0.0004,0.2,0.4,0.4999,0.2,3.0,2.9999,4.0,-3.3999,3.95,0.0,0.0
2024-08-08 16-11-59,0,11,1000,Cam4,50-0536976126,0.009921875,0,513.9617641033124,869.5772431636956,19.279005709602796,39.63294143991026,823144,461.24496248501174,791.5911768491236,148.3607264706041,186.6857640976425,286.0,124.0,1.0999,-0.0004,0.2,0.4,0.4999,0.2,3.0,4.0001,3.8,-3.1995,3.75,0.0,0.0
2024-08-08 16-12-20,0,11,1000,Cam4,50-0536976126,0.009921875,0,524.4215493916589,862.7937889725218,19.78261922249449,35.72430913367586,782894,474.41626043102434,789.7095628568361,148.3607264706041,186.6857640976425,286.0,124.0,1.0999,-0.0004,0.2,0.4,0.4999,0.2,3.0,4.0001,3.5999,-3.0992,3.55,0.0,0.0
2024-08-08 16-12-46,0,15,1000,Cam4,50-0536976126,0.009921875,0,549.7697064125041,858.6583181112097,31.544827938989613,21.654697778451986,1237150,451.83689252357414,782.1831068876859,148.3607264706041,186.6857640976425,286.0,124.0,1.0999,-0.0004,0.2,0.4,0.4999,0.2,3.0,4.0001,3.4,-3.0995,3.35,0.0,0.0
2024-08-08 16-13-04,0,18,1000,Cam4,50-0536976126,0.009921875,0,544.0708699065843,855.5541855307041,31.467353307043236,24.300762307622012,1660069,451.83689252357414,782.1831068876859,148.3607264706041,186.6857640976425,286.0,124.0,1.0999,-0.0004,0.2,0.4,0.4999,0.2,3.0,4.0001,3.4,-3.0995,3.35,0.0,0.0
2024-08-08 16-13-23,0,18,1000,Cam4,50-0536976126,0.009921875,0,552.297370304081,862.2896624178883,29.433817092596367,63.16534154138865,1574714,477.5522837515034,768.3846042775775,148.3607264706041,186.6857640976425,286.0,124.0,1.0999,-0.0004,0.2,0.4,0.4999,0.2,3.0,4.0001,3.0994,-2.7997,3.0496,0.0,0.0
2024-08-08 16-15-47,0,4,1000,Cam4,50-0536976126,0.009921875,0,450.1717289646781,856.7387104560978,11.063525316590717,8.331904371288765,372882,402.3475601292536,783.9464059856954,148.3607264706041,186.6857640976425,286.0,124.0,1.0999,-0.0004,0.2,0.4,0.4999,0.2,3.0,4.0001,5.0,-4.0996,4.95,0.0,0.0
