timestamp,filter_index,gain,exposure,camera,serial,calibration,charge,xc,yc,xrms,yrms,sum,roi_x,roi_y,roi_w,roi_h,gunphase,linacphase,X1,Y1,X2,Y2,X3,Y3,X4,Y4,Q1,Q2,Q3,Q4,Q5
2024-08-09 18-32-56,0,15,1000,Cam4,50-0536976126,0.009921875,497.26,604.378055097313,766.1358692426145,30.054777649914307,53.25722313578013,1149114,486.6881028938907,632.5916398713827,214.01929260450186,211.5498392282958,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,3.6999,-3.1997,3.6999,-0.0011,0.0026
2024-08-09 18-32-57,0,15,1000,Cam4,50-0536976126,0.009921875,506.8,594.0151997861515,768.89011492145,33.26517203265524,54.59801784856995,1140491,486.6881028938907,632.5916398713827,214.01929260450186,211.5498392282958,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,3.6999,-3.1997,3.6999,-0.0011,0.0026
2024-08-09 18-32-59,0,15,1000,Cam4,50-0536976126,0.009921875,498.84,602.1060124136732,766.0328686055184,28.76513369116394,52.145630570861215,1167651,486.6881028938907,632.5916398713827,214.01929260450186,211.5498392282958,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,3.6999,-3.1997,3.6999,-0.0011,0.0026
2024-08-09 18-33-00,0,15,1000,Cam4,50-0536976126,0.009921875,503.6,599.7231551068244,771.6756556990752,29.810724642453465,58.33899280524646,1126403,486.6881028938907,632.5916398713827,214.01929260450186,211.5498392282958,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,3.6999,-3.1997,3.6999,-0.0011,0.0026
2024-08-09 18-33-01,0,15,1000,Cam4,50-0536976126,0.009921875,506.8,599.3110830002507,770.6303303468965,29.83603189537722,55.10708803160556,1139325,486.6881028938907,632.5916398713827,214.01929260450186,211.5498392282958,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,3.6999,-3.1997,3.6999,-0.0011,0.0026
2024-08-09 18-33-02,0,15,1000,Cam4,50-0536976126,0.009921875,503.6,607.975709668363,771.0515612849326,30.067095857245786,56.49392407600469,1130139,486.6881028938907,632.5916398713827,214.01929260450186,211.5498392282958,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,3.6999,-3.1997,3.6999,-0.0011,0.0026
2024-08-09 18-33-03,0,15,1000,Cam4,50-0536976126,0.009921875,500.42,605.2057336675842,769.6382633049024,31.784371927579794,58.439488690666515,1090810,486.6881028938907,632.5916398713827,214.01929260450186,211.5498392282958,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,3.6999,-3.1997,3.6999,-0.0011,0.0026
2024-08-09 18-33-05,0,15,1000,Cam4,50-0536976126,0.009921875,494.11,614.3838026176708,751.6625666795775,34.13379949684283,31.533542303399244,1275138,486.6881028938907,632.5916398713827,214.01929260450186,211.5498392282958,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,3.6999,-3.1997,3.6999,-0.0011,0.0026
2024-08-09 18-33-06,0,15,1000,Cam4,50-0536976126,0.009921875,506.8,611.5049648346446,756.9195463025651,31.172869318912873,45.10798672114006,1277807,486.6881028938907,632.5916398713827,214.01929260450186,211.5498392282958,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,3.6999,-3.1997,3.6999,-0.0011,0.0026
2024-08-09 18-33-07,0,15,1000,Cam4,50-0536976126,0.009921875,503.6,602.570019528951,764.4452659157284,31.128481751867437,53.157861030760984,1153211,486.6881028938907,632.5916398713827,214.01929260450186,211.5498392282958,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,3.6999,-3.1997,3.6999,-0.0011,0.0026
2024-08-09 18-33-08,0,15,1000,Cam4,50-0536976126,0.009921875,506.8,600.2990553508631,766.9210593584289,30.18692855908106,53.15253100233565,1174590,486.6881028938907,632.5916398713827,214.01929260450186,211.5498392282958,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,3.6999,-3.1997,3.6999,-0.0011,0.0026
2024-08-09 18-33-09,0,15,1000,Cam4,50-0536976126,0.009921875,492.55,600.7524374907495,769.3613485576791,30.467555909364403,56.629698450613645,1139898,486.6881028938907,632.5916398713827,214.01929260450186,211.5498392282958,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,3.6999,-3.1997,3.6999,-0.0011,0.0026
2024-08-09 18-33-11,0,15,1000,Cam4,50-0536976126,0.009921875,481.74,606.7197538539614,764.6288077319292,31.933708719360784,61.663842190647976,1110410,486.6881028938907,632.5916398713827,214.01929260450186,211.5498392282958,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,3.6999,-3.1997,3.6999,-0.0011,0.0026
2024-08-09 18-33-12,0,15,1000,Cam4,50-0536976126,0.009921875,481.74,604.380677280972,768.6957892202101,30.15913438009199,57.75990041136058,1102735,486.6881028938907,632.5916398713827,214.01929260450186,211.5498392282958,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,3.6999,-3.1997,3.6999,-0.0011,0.0026
